School ,Source,Review,,,
UPenn,GMAT Club,"There are many things that can be said about Wharton, but the full time MBA program has far exceeded my expectations. My classmates are collegial and supportive, the professors are world class and leaders in their industry, and the amount of career opportunities I've been exposed to is staggering. I was really on the fence between Wharton and another program and would go back and make the same decision again in a heartbeat if I could. Could not be happier with my decision.

The two biggest perks of the program, in my experience, are the student body and the alumni. My classmates have worked in nearly every country on Earth, at nearly every company you could think of, and in an incredibly wide range of roles. If I want to learn more about the McKinsey office in Moscow, I can grab lunch with someone who spent 2 years there tomorrow. If I'm curious about working in a fintech startup in San Francisco, I can grab coffee with someone that was employee #3 at one later today. If I want to know the gritty details about working at Goldman TMT in NYC, I can bump into a person that did that between classes. I didn't fully understand how valuable that level of connection would be until I got here and was able to take advantage of it before the waves of recruiting hit during my first year.

The alumni support has been very impressive. Coming into school, I knew I wanted to work in a certain industry in a certain geographic area, so I started reaching out to alumni from both schools I was considering to get a feel of the strength of each network. The Wharton alumni far and away were the most responsive and receptive to me and several of them went beyond the extra mile to meet or chat with me during my decision process. Since I've been a student, that aspect has only improved. I may be an anomaly, but I've had a hit rate of 100% when it comes to returned emails, phone calls, or coffee / lunch invitations from alumni. I know the burden will be on me someday to repay the favor to the next set of students, but I cannot overstate how strong and open the Wharton network has been for me thus far.

I thought the competition between students would be extremely cutthroat based on what I heard from some of the older alumni at my pre-MBA firm, but that hasn't been true at all. All of my classmates are extremely helpful and there isn't this ""I win if I can make you lose"" mentality like I was expecting. I think the TBD interview style really works to wash out the gunners before they get to campus.

The amount of electives and flexibility you have within the degree programs thanks to the short fixed core classes program is really fantastic. You can get as deep or as broad as you want in any subject and I've really taken advantage of it by using the course catalogue as a shopping menu for classes that I think sound interesting outside my chosen field of study.

WAY more tech firms and start ups recruit at Wharton than I thought would when I was applying. I come from a finance background and plan to continue in the investment field after school, but I've been pleasantly surprised at the amount of opportunity that exists beyond the typical financial roles. The school has a finance reputation for a reason, but there is a big push from the leadership to expand entrepreneurship and tech stuff and it's really starting to show when you look at the post-MBA jobs a lot of people are taking.",,,
UPenn,GMAT Club,"Wharton has been a great experience, but it has been more difficult than I had expected. There is definite truth when they say that you will have no free time, since classes, clubs, social activities and recruiting take up so much take.

The people are honestly some of the best people I have met - everyone is approachable and willing to help you out, no one sabotages anyone, etc.

Wharton also has a lot more to offer than finance - in fact, I think that more students go into consulting and tech than into finance.

The only complaint I have is that it is too far from where all the students live (or maybe that was our own fault).

To future applicants I would suggest visiting the school and talking to students to really learn what they think, the students are honest and won't sugar coat anything . Really learn what differentiates Wharton.",,,
UPenn,GMAT Club,"To be honest, most of MBA curriculum can be learned almost anywhere. What's made the difference to me at Wharton is the community. Wharton has an amazing cluster and cohort system that encourages students to get to know each other. It's Philadelphia location and the fact that most students live in Rittenhouse helps foster a sense of community. I can't walk down the street without running into someone I know, which builds the strong relationships I wanted in my MBA experience. I think that's why the alumni network is also so strong. The network is really bi-coastal and international and I've had a lot of help/networking success with alums.

Other highlights at Wharton include the amazing speakers that come to the school, the opportunitues to build up strategy/innovation experience through the field application project program and the collaborative innovation project program, and the Semester in SF program. I've loved my classes with Profs. Adam Grant, David Bell, Luke Taylor, and Bari Harlam.

The professors in general can be a hit or miss. They're generally okay and some of the long term ones seem like they couldn't give a care about teaching. We do have some superstars (see above) and they're very much worth taking a class with.

Also, I'm convinced Philadelphia is one of the most underrated cities in the US. I loved in SF and DC before school (and spent a lot of time in NYC) and absolutely love Philly. It's inexpensive to live in, the food scene is amazing, and it's architecturally beautiful. The weather is typical East Coast weather so winter isn't the best, but can't complain about much else. It's gotten a lot safer in the last few years and I feel safer here than SF.
",,,
UPenn,GMAT Club,"Pros:
-Access to huge alumni network that so far has been very willing to help
-Network of extremely smart and talented classmates (with some exceptions)
-Campus and presence in SF helps with tech/VC recruiting

Cons:
-Facilities provided don't stack up to other top programs (we can't even use the campus gym without paying $300+ per year)
-Location is not as exciting as other top programs
-Lack of experiential based learning opportunities
-Wharton needs to work on and invest more into its branding - its reputation has slipped a bit over the last decade to where it is no longer considered on the same tier as HBS and Stanford",,,
UPenn,Niche,"Intensive but interesting. Great people, but professor quality varied. Lectures tend to be very interesting, but are high level in some cases. Coming from an engineering background, this felt ""easy"", but it is a different type of learning- more focused on the concepts than proving theories and underlying complexities. TAs are great and there is a lot of effort put towards making students understand the material. Since there isn't a sink or swim culture, I think it incentivizes learning for the sake of learning rather than curving to a ""B"".
Professors are very friendly and actually enjoy getting to know their students.",,,
UPenn,Niche,"Getting through Penn is a huge accomplishment. It is highly competitive and stressful, mostly because of the Wharton School mindset seems to permeate to the other colleges as well. Mental health is a huge issue for many students and it seems like many students are not getting adequately treated. The school does have a lot of resources for students compared to other schools. There are support systems and great professors if you know where to look.",,,
UPenn,Niche,"There are plenty of majors and courses to choose from. Course Match, which is the system we use to select classes allows students to create their schedule based on their preferences and class seats without the rush of first come first serve. Academic advisors, TAs, and professors are available virtually and in-person to guide students from course selection to course completion.

Though academic advisors are available, they are typically not that helpful. It's best to chat with former students about how they handled Course Match and which classes / professors to take.",,,
UPenn,Niche,"My experience so far has been a blend of two worlds, least developed and developed economy. very enriching and mind blowing, refreshing, challenging and inspiring.
administrators are easy to talk to and are so resourceful with a quick response to problems and always willing to help. very understanding, simple and relatable.
teachers are knowledgeable, accessible and emphatic. they are always willing too share knowledge, explain and even meet u out of class hours for continuous explanations and interactions.

Classes are so fun and interactive, a mixture of seminars, lectures, bootcamps, clinics, debates, presentations and interactive sessions. Class sessions were all in person acreating stronger bond between students, teachers, administration..

With a diverse class of individuals, with students from different countries tires and nationalities, add to the rich cultural exchange, language and diverse atmosphere. it feels like I made a trip to 36 countries while in the same place.",,,
UPenn,Niche,"The best part of doing an MBA at Wharton is the quality of education and the vast opportunities it provides. The program challenges students to think critically, develop leadership skills, and gain practical experience through hands-on projects and internships. The school also has a vast alumni and corporate partners network, providing students with great internship and career opportunities. Finally, the social aspect is unlike any other.

On the other hand, the curse of all these opportunities is balancing everything. The program offers interesting classes, clubs, travel experiences, and networking events, which can overwhelm some students. Additionally, the tuition and living expenses in Philadelphia can be quite steep.",,,
UPenn,Niche,"Penn is so diverse I have been here one term so far and have met at least 4/5 people from each continent. Also, they are so friendly. The staff is diverse too and there are open groups discussing LGBT, religion and race. I have met people from diverse economic background so I would really rate Penn highly on such integration.

Acceptance is very high. Am actually a member of a christian prayer group but most people are from different religions and they go to different churches on Sunday - and that's acceptable.

There is open talk about current political situations... and people are very honest about their opinions (It's not ''weird'' talking about politics - Even though I haven't seen die-hard political groups promoting their agendas",,,
Northwestern,GMAT Club,"Collaborative atmosphere: Many students appreciate the collaborative and supportive environment at Kellogg, where they are able to work with classmates from diverse backgrounds and industries.

Strong academic programs: The curriculum is challenging but also very engaging, and students say they feel well-prepared for their careers after graduation.

Real-world experience: Kellogg is known for its hands-on approach to business education, and students appreciate the opportunity to work on real-world projects and case studies.

Networking opportunities: The Kellogg network is one of the strongest in the world, and students say they appreciate the connections they make while at the school and after they graduate.

Supportive community: Students also appreciate the strong sense of community at Kellogg, where they are able to receive support from faculty, staff, and alumni throughout their time at the school and beyond.",,,
Northwestern,GMAT Club,"An MBA program that provides a broad based general management education and at the same time enables to focus on niche areas such as Data Analytics for decision making and Public-Private initiatives. There are plenty of student-led activities that can be classified into Professional, Cultural, and Interest clubs. The student body is surely very vibrant. The new building is state of the art and has a new level of energy all together.

Applicants should conduct deep research about the program and clearly illustrate ways they can contribute to the Kellogg community. Also, examples of teamwork and collaboration in the essays and interview should go a long way as the school prides itself on these attributes.

Recruiting is a mostly self-driven process. School brand might not make as much difference as one may think.",,,
Northwestern,GMAT Club,"Very strong collaborative culture and student body. You can always learn from peers, and they are happy to share. Career-wise, regardless of the industry that you are interested in or passionate for, you can always get supports from the career management center, student clubs, alumni network, and curriculum. In addition to technical skills, such as data analytics and finance, thoughtful leadership and effective communication are also the highlights of my learnings at Kellogg. Moreover, current students and faculty just moved to the new building, which has improved facilities and much more open spaces and flexibilities for student to work ttogether. I would suggest applicants to explore Kellogg's culture and think about how to contribute to this community.",,,
Northwestern,GMAT Club,"The school is famous for its collaborative culture. As an international student, I was still able to make many good friends at Kellogg. It really helped a lot on my career advancement, I got the job I wanted and received lots of helps from Kellogg alumni network along the way. The two years at Kellogg, I had some really great memories during my two years at Kellogg. There were many fun student-initiated activities, such as international travels, formals, weekly parties and gatherings. Highly recommend the school, especially if you are looking for consulting or tech career, Kellogg will be the right place for you.",,,
Northwestern,GMAT Club,"Coming from a non traditional background, before Kellogg I could barely use Excel. My previous leadership experiences were very real world and high pressure. The one thing I knew I had to focus on during my MBA was my quantitative skills.

At Kellogg, I took several classes on statistics, analytical decision making, and even coding. For someone who couldn't do a vlookup, I left Kellogg knowing how to code in Stata and R. The best classes for that were Marketing Research, Customer Analytics, and Analytical decision modeling.

Professors were great and extremely helpful in helping me figure out what languages to study and what I could do with the newly-acquired skills.

I work today at a large techfin company doing product management with a focus on data science in the Bay Area. If you think Kellogg is a ""soft"" school, think again. You can earn all the hard skills needed to succeed in the age of big data.

Recruiting is the hardest part. It's really stressful. But everyone makes it, and I can say that almost everyone I know got the jobs they wanted and are doing really well in the their careers. Be laser-focused on the industry and companies you're interested in, but allow about 20% of your time to search for other options always. Recruiting might not turn out the way you expected and having a plan B really pays.",,,
Northwestern,GMAT Club,"When I applied to business schools, I knew I was looking for a few key things (not necessarily in order):

-- Success with placing students into good consulting careers
-- Supportive/friendly environment
-- Strong brand recognition
-- International opportunities

Kellogg has met my expectations on these criteria and exceeded it in others. Several of the above are things that you can pick up from reading the internet, but to experience it is an entirely different thing.

Sure, Kellogg has great stats when it comes to placing folks into good consulting jobs. However, I didn't realize HOW this happened before coming. The school does a great job of offering equal opportunities for success (particularly through the ""bid"" system, whereby you can bid ""points"" to get an interview with a company even if they didn't choose you). Further, the student body is incredibly supportive -- numerous people have gone out of their way to help me prepare for my interviews. Thanks to this system and environment, I was able to get a job with one of my most desired consulting firms!

The international opportunities have been numerous and incredible. At a certain point there happens to be TOO MANY (if you can believe it) opportunities to travel -- you have to be selective about how you spend your time/money!

But beyond these things, its simply a wonderful community. I've learned a ton from my classes and peers. I've met an incredible number of friendly people who are extraordinarily accomplished already. We had a terrible building (the Jake), but now we're in a wonderful new building (the Global Hub) which is a great environment for working and collaborating.",,,
Northwestern,GMAT Club,"The most unique aspect of Kellogg School of Management (Northwestern University) is it's social and collaborative spirit. Most classwork is done in groups - including Finance and Accounting assignments - that teaches you to not only work in a group setting but to pull your own weight. This is an essential trait for corporate success, and IMHO all business schools should focus more on this. The collaborative spirit also shines during the placement season, when students are more than willing to help each other out with mock interviews and study sessions - surprisingly even when competing for the same job. Furthermore, the social aspect is also evident in the in numerous party events that keep happening throughout the school tenure. Kellogg will teach you to be a good team-player.",,,
Northwestern,GMAT Club,"Kellogg was definitely a great experience. The school offered a huge variety of opportunities and everyone I met was able to find a job in the field they were looking for.

It did not disappoint on the social component either. I made great friends from a variety of nationalities and backgrounds that have also helped me in my professional life. Additionally, Kellogg's location is both great to creating this small college-town tight atmosphere and provide the benefits of a big city.",,,
Northwestern,GMAT Club,"Kellogg exceeded my expectations. From the very beginning, the program provided a lot of support and networking opportunities. They did a good job with ensuring that students felt prepared upon started. Even though most incoming students claim to know what exactly they want to do post MBA, Kellogg encourages students to do self discovery and really think about lots of possibilities. I loved getting involved with many organizations and programs while in school. There really was an option for everything. I ended up going with a non traditional career path for recruiting, so the hardest part about my experience was having fewer resources and networking contacts immediately available to me. Instead, I had to do more off-campus networking and searching, which can become frustrating when you see lots of classmates going through a completely on-campus process. Kellogg has offered some interesting alumni events in major cities since graduation as well.",,,
Northwestern,GMAT Club,"International student, applied to Kellogg with a goal to work in consulting the US after graduation, so far school provides tremendous resources ( both the career management center and from the student body) for you to (1) succeed in interviewing, (2) integrate seamlessly into the US culture.

Moreover, being a campus-centric school and having a strong communal spirit, Kellogg provides ample opportunities to make new friends.

Finally, a mix of core classes and flexible curriculum ensures that first, everybody is put on the base required level of business knowledge, and second, everyone is able to tailor their education to support their professional aspirations - be it entrepreneurship, healthcare or tech.",,,
Northwestern,GMAT Club,"Kellogg really is the teamwork and marketing school you hear about. Students run everything and are generally very intelligent, outgoing and helpful in all aspects of student life. The vibe is very diverse and inclusive.

Social events start the school year with a frenzy, but as the the first year continues school work and especially recruiting begin to take a bulk of the time and attention of the students. Second year students generally are more laid back, especially after securing their full-time offer.

Classes are challenging if you're coming from a non-traditional background, and easier if you've spent the bulk of your career in a quantitative field. Professors are excellent and available if you want to face-time beyond class. Some people don't take classes very seriously, while others are dying for A's.

The toughest part of the experience is managing time. People told me how hard it would be to balance everything before coming here, but you REALLY feel that once you're here. It's not quite possible to fully prepare for it, but rather just accept it as a way of life, particularly in the first half of the first year. It gets easier.

For careers, the career center is as helpful as you want them to be -- to get the most out of them you have to be smart and strategic about which events you go to and who you talk to. The clubs (Tech Club, Marketing Club, Consulting Club, etc.) are more helpful overall for careers, in particular the guidance from second year students. You will be prepared for your interviews if you put in the time and effort and sit down with enough second years.

Overall, it's a fantastic school. Getting an MBA isn't easy a top school like this, but the rewards are plentiful in all walks of life. You get out of it what you are willing to put in.",,,
Northwestern,GMAT Club,"Kellogg has been really great so far. I have been looking forward to business school for a very long time and this has far surpassed my expectations and I am pinching myself every so often to make sure this is real life. The student body is diverse and it is incredible to hear the stories of my classmates- they are so accomplished! One thing I would like to underline for future applicants is how large the class size is. This can be overwhelming at times, whether you are trying to sign up for social events or trying to get some focused career guidance. That being said, this is definitely offset by the huge network you have access to and the number of people you are able to meet.

Professors are great, really care about building relationships with the students, despite the large class size.

Tech is becoming extremely popular at Kellogg, second only to consulting. All of the big tech companies (Apple, Amazon, Microsoft, Google, etc) recruit here on campus but the competition is pretty steep.",,,
Northwestern,GMAT Club,"Overall, Kellogg is a great school and I´m happy I decided to come here. The fact that it´s located in Evanston is actually a great plus for me. Since it´s a small town you never have to walk more than 20 minutes to meet for a group project, and if you want to enjoy the perks of a big city the Metra will take you to Chicago in about 30 minutes.

One thing that could be improved is the fact that most events are planned with a fairly limited capacity. This year more than 100 students were left out of the popular ski trip because there wasn´t enough capacity to accommodate.",,,
Northwestern,GMAT Club,"I would recommend Kellogg to anyone who is not dead-set on pursuing a career in investment banking. The student body and culture are Kellogg's greatest asset. Everyone is genuinely nice and willing to help you out. As someone who had an alternative career path the career center was pretty much worthless. I had a very meetings with an advisor but received little feedback and no referrals to potential employers. I received my offer late in the year and at that time it seemed like all they cared about was that I had a job not that it was the right job for me. I was underwhelmed but some of the professors. The good ones usually cost a lot of bid points. Many are too research focused and have no touch with the real word. The ones who came out of industry were fantastic and I wish all business school, not just Kellogg, would move more in that direction.",,,
Northwestern,GMAT Club,"Kellogg was the perfect school for me: challenging and inspiring curriculum; diverse, supportive classmates who remain some of my best friends; a perfect location on a traditional campus but right near a major city; and incredible opportunities for personal development on a very student-driven campus. I would advise applicants to cover both their career and academic successes and their character/cultural fit. I've known people who had incredible professional experience but haven't gotten in for cultural fit reasons. 
Kellogg was the perfect school for me: challenging and inspiring curriculum; diverse, supportive classmates who remain some of my best friends; a perfect location on a traditional campus but right near a major city; and incredible opportunities for personal development on a very student-driven campus. I would advise applicants to cover both their career and academic successes and their character/cultural fit. I've known people who had incredible professional experience but haven't gotten in for cultural fit reasons. ",,,
Northwestern,GMAT Club,"Kellogg has done a great job meeting and exceeding my expectations. Kellogg is providing far more than just a stamp on my resume. All of the classes I've taken thus far have been engaging and I've picked up skills that I will be able to apply on day one of my internship/job as well as skills, such as Organizational Behavior, that will prove invaluable to me throughout my career.

The career center has been useful for teaching the basics about recruiting/interviewing, but as at any top program, the most helpful source of information comes from 2nd year students and alumni, who have been incredibly supportive of me thus far. My first year counterparts are also remarkably driven and intelligent, which can be quite intimidating until you realize how friendly and collaborative they all are.

My only complaint is that the classes might be too much work, which has thus far diluted my efforts to really focus on my career and networking, although I'm sure this will all even out after I get my internship in the spring.

We lost 2 all-star professors this year to other schools, but the caliber of all the professors with whom I have taken classes thus far have been quite high, so I have no complaints.

Outside of a few PE/VC/Rotation Programs, which only recruit at Harvard/Stanford, all of the blue-chip companies that you want to be a part of recruit at Kellogg or have alumni that would be more than willing to help you land a job there.",,,
Northwestern,GMAT Club,"Great professors, amazingly freindly and warm student body, someone 10 years out told me it would be the best 2 years of my life, I did not believe him as lilfe has treated me fairly well, but he was right. The level of comradery you feel is through the roof.

It's a large enough school where you can find your groove and your favorite type of people and then form friends for life.

Best advice? Take out full loans and prepare your travel budgets. People are very down the earth, especially about travel, but you are going to want to do it all. I think I went to 20+ countries with my classmates and each one was more amazing than the next. Traveling together with so many brilliant classmates was a once in a lifetime experience.",,,
Northwestern,GMAT Club,"I truly believe that the quality of education is pretty comparable at any of the top schools. Given that, I chose Kellogg over other schools due to its collaborative atmosphere, student leadership opportunities, and collegial nature. I'm happy to say that I wasn't wrong about any of these. Even in recruiting, when two of us were going for the same positions at the same office locations, we helped each other, connecting each other with recruiters we might have missed or people we weren't able to network with. And when it came to student leadership, it was unparalleled. The amount of responsibility and leverage you have as a club leader, a student government leader, an event leader, or any other position is truly insane. My only complaint about that is that at times I wish the administration and other Kellogg staff helped the student leaders more and were more proactive instead of reactive (waiting for students to ask them to do something) — it was sometimes like having a full-time job in addition to your studies. If you're an extrovert, Kellogg is for you. Especially the social scene. If you're in introvert, it'll be tougher; I won't lie. But it can still be a very enjoyable experience, especially when people are friendly and willing to help.

Also, Kellogg LOVES diversity, including people from non-business/non-traditional career backgrounds. However, if you are one of these people, you will probably have a little more trouble in your classes and in recruiting. It's frustrating, especially, in recruiting because companies will be very interested in talking to you (because you're not the 15th ex-consultant they've met) but they'll test you harder in interviews and often choose a candidate with a more traditional background over you, all things being relatively equal. This is probably true of any business school you go to, though.

There's a ton of group work. And although this isn't everyone's cup of tea, I think it's an important skill to have. You're going to have to deal with it when you go back into your career — this lets you improve your leadership skills, your coping mechanisms, and your communication.

If you're going for a traditional avenue — consulting, CPG marketing, finance — Kellogg is very supportive, both from the student club side and the career office side. If you're going for something less traditional — media, sports, start-ups, net impact — it's going to be a little tougher. I know Kellogg continues making strides to help these non-traditional folks, but you will have to do a lot of your own legwork.",,,
Northwestern,GMAT Club,"It's my first time in the US as a full-time student, so I've only been blown away by the quality of education and the depth and breadth of resources.

1. Teaching quality - the quality of teaching far surpasses anything I've expected. I came not expecting much. I'd always been pretty good academically, but here, I've been challenged and stimulated. Even when class material is ""simple"", classmates have consistently elevated the level of learning.

2. Alumni support - alumni are just a phone call away. I don't know if it's the norm at all business schools, but my peers and I are never turned down when we call for help or information.

3. School support/brand recognition in job search - again, my first experience at an elite institution in the USA, and I don't know if it's the same at other schools. The access we get to top-notch employers is without par. Career services and the school's professional clubs also do well in regulating company contact time with students.

4. Environment - perhaps it's only the first quarter; we're not competing directly for jobs yet. So far, people are extremely supportive and helpful. No one withholds resources from another, people are always sharing information and help.",,,
Northwestern,GMAT Club,"*Got a top tier consulting internship, and ultimately full-time offer, without any prior consulting experience.

* Amazing student body. Everyone is super friendly and helpful. Very collaborative, instead of competitive. Welcome change from my undergrad days at NYU Stern, in which everyone was competitive and cold.

* Great school culture. Multiple Kellogg school events per week and lots of school spirit. Very diverse groups of people, and everyone will find a place to fit in. Definitely the most fun business school in the M7. When we have Kellogg versus Booth school events, literally 4 times Kellogg students attend than Booth students.

* Ton of options with classes, and you can choose to take anywhere between 3 and 5 credits per semester. So you can be lazy and take 3, and put your attention elsewhere (e.g. socially, extracurriculars, start-ups), or 5 every quarter if you value academics

* Have made countless close friends who I expect to still be close to a decade from now.

* Location is great. 30 minutes away from the city, so people tend to hang out with each other and develop strong bonds...but city is close enough that if you get bored it's easy to uber/train out there for cheap.

Great assortment of classes. If you go to a smaller school, you might miss some cool electives. For example, I'm interested in strategy and healthcare, and there's a ton of options.

Everyone recruits from this school. Whereas not everyone will get MBB, Google, GS (although a ton do), everyone can find a join that pays $120k base + quity + signing. People who take less money, or people who aren't employed at graduation have specific job goals (that either pay less, or do just-in-time hiring). If you're worried about finding a job, don't worry. Literally everyone who wants to be employed with a high paying job, is.",,,
Stanford,GMAT Club,"The professors are personally invested in the success of their students, and they are very approachable. They always respond very quickly to any emails sent to them directly. I have also had numerous opportunities to have individual or small group chats with many of my professors. Their connections with local industry and VC firms is amazing. My classmates are also fantastic. I can honestly say that I have not met a single person here who is not outright impressive yet kind! I am constantly blown away by the caliber of students here. They seem to effortlessly grasp difficult concepts and run with it to create new companies or setup up NGOs to solve societal problems. This is a group of doers and real-world problem solvers. I just feel so lucky to be here to learn and make amazing new friends who will be life-long friends.",,,
